URL,パス,ステータス,リダイレクト,最終URL,ページ名,タイムスタンプ
"http://aidunitemvp.xsrv.jp/mypage","/mypage","200","true","http://aidunitemvp.xsrv.jp/mypage/","マイページ","2025-08-02T00:21:48.080Z"
"http://aidunitemvp.xsrv.jp/login","/login","200","true","http://aidunitemvp.xsrv.jp/login/","ログイン","2025-08-02T00:21:48.323Z"
"http://aidunitemvp.xsrv.jp/member-register","/member-register","200","true","http://aidunitemvp.xsrv.jp/member-register/","会員登録","2025-08-02T00:21:48.548Z"

"http://aidunitemvp.xsrv.jp/team-registration","/team-registration","200","true","http://aidunitemvp.xsrv.jp/team-registration/","チーム登録","2025-08-02T00:21:49.046Z"
"http://aidunitemvp.xsrv.jp/team-list","/team-list","200","true","http://aidunitemvp.xsrv.jp/team-list/","チーム一覧","2025-08-02T00:21:49.289Z"
"http://aidunitemvp.xsrv.jp/schedule-management","/schedule-management","200","true","http://aidunitemvp.xsrv.jp/login/","スケジュール管理","2025-08-02T00:21:49.767Z"
"http://aidunitemvp.xsrv.jp/match-board","/match-board","500","true","http://aidunitemvp.xsrv.jp/match-board-others/","マッチ掲示板","2025-08-02T00:21:50.022Z"
"http://aidunitemvp.xsrv.jp/match-requests","/match-requests","200","true","http://aidunitemvp.xsrv.jp/match-requests/","マッチ申請","2025-08-02T00:21:50.269Z"
"http://aidunitemvp.xsrv.jp/payment-management","/payment-management","500","true","http://aidunitemvp.xsrv.jp/payment-management/","支払い管理","2025-08-02T00:21:50.527Z"
"http://aidunitemvp.xsrv.jp/profile-edit","/profile-edit","200","true","http://aidunitemvp.xsrv.jp/profile-edit/","プロフィール編集","2025-08-02T00:21:50.776Z"
"http://aidunitemvp.xsrv.jp/notifications","/notifications","200","true","http://aidunitemvp.xsrv.jp/notifications/","通知一覧","2025-08-02T00:21:51.000Z"
"http://aidunitemvp.xsrv.jp/contact","/contact","404","false","http://aidunitemvp.xsrv.jp/contact","お問い合わせ","2025-08-02T00:21:51.128Z"
"http://aidunitemvp.xsrv.jp/guide","/guide","404","false","http://aidunitemvp.xsrv.jp/guide","ガイド","2025-08-02T00:21:51.260Z"
"http://aidunitemvp.xsrv.jp/regulation","/regulation","404","false","http://aidunitemvp.xsrv.jp/regulation","レギュレーション","2025-08-02T00:21:51.400Z"
"http://aidunitemvp.xsrv.jp/team-search","/team-search","404","false","http://aidunitemvp.xsrv.jp/team-search","","2025-08-02T00:21:51.521Z"
"http://aidunitemvp.xsrv.jp/team-members","/team-members","404","false","http://aidunitemvp.xsrv.jp/team-members","","2025-08-02T00:21:51.643Z"
"http://aidunitemvp.xsrv.jp/attendance-management","/attendance-management","404","false","http://aidunitemvp.xsrv.jp/attendance-management","","2025-08-02T00:21:51.762Z"
"http://aidunitemvp.xsrv.jp/attendance-response","/attendance-response","404","false","http://aidunitemvp.xsrv.jp/attendance-response","","2025-08-02T00:21:51.888Z"
"http://aidunitemvp.xsrv.jp/attendance","/attendance","404","false","http://aidunitemvp.xsrv.jp/attendance","","2025-08-02T00:21:52.012Z"
"http://aidunitemvp.xsrv.jp/team-notifications","/team-notifications","404","false","http://aidunitemvp.xsrv.jp/team-notifications","","2025-08-02T00:21:52.146Z"
"http://aidunitemvp.xsrv.jp/match-history","/match-history","404","false","http://aidunitemvp.xsrv.jp/match-history","","2025-08-02T00:21:52.269Z"
"http://aidunitemvp.xsrv.jp/team-board","/team-board","404","false","http://aidunitemvp.xsrv.jp/team-board","","2025-08-02T00:21:52.385Z"
"http://aidunitemvp.xsrv.jp/send-message","/send-message","404","false","http://aidunitemvp.xsrv.jp/send-message","","2025-08-02T00:21:52.506Z"
"http://aidunitemvp.xsrv.jp/team-discovery","/team-discovery","404","false","http://aidunitemvp.xsrv.jp/team-discovery","","2025-08-02T00:21:52.629Z"
"http://aidunitemvp.xsrv.jp/support-team","/support-team","404","false","http://aidunitemvp.xsrv.jp/support-team","","2025-08-02T00:21:52.744Z"
"http://aidunitemvp.xsrv.jp/schedule-edit","/schedule-edit","200","true","http://aidunitemvp.xsrv.jp/schedule-edit/","","2025-08-02T00:21:52.980Z"
"http://aidunitemvp.xsrv.jp/match-board-own","/match-board-own","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:53.388Z"
"http://aidunitemvp.xsrv.jp/match-board-other","/match-board-other","500","true","http://aidunitemvp.xsrv.jp/match-board-others/","","2025-08-02T00:21:53.611Z"
"http://aidunitemvp.xsrv.jp/match-result-report","/match-result-report","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:54.035Z"
"http://aidunitemvp.xsrv.jp/match-result-history","/match-result-history","404","false","http://aidunitemvp.xsrv.jp/match-result-history","","2025-08-02T00:21:54.154Z"
"http://aidunitemvp.xsrv.jp/payment-settings","/payment-settings","404","false","http://aidunitemvp.xsrv.jp/payment-settings","","2025-08-02T00:21:54.269Z"
