section,key,value
policy,canonical_file,docs/reports/normalize-services-management-table.md
policy,rule_ui,page-*.php / テンプレ / JS 表示は get_post_meta 直読み禁止。persist-read の payload / read_* / get_canonical_meta / get_display_bundle 経由のみ
policy,rule_rest,rest-*.php / rest_prepare_* は persist-read または正本ヘルパー経由。メタキー直指定禁止
policy,rule_write,保存は *-persist.php 経由。保存前 normalize 必須。UI から update_post_meta 直書き禁止
policy,rule_missing_data,不足時は UI に get_post_meta を足さず、まず persist-read への read payload 追加を提案→本表更新→spec 変更履歴
policy,rule_analytics,分析・workflow メタは例外リストに載せるまで直読み不可
normalize_function,domain,read_persist_file,read_entry,write_persist_file,write_entry,input_fields,transforms,output_payload,storage,priority,wave
aidunite_normalize_schedule_payload,schedule,schedule-persist-read.php,"get_display_bundle / get_canonical_meta / read_* / get_api_display_fields / get_market_list_display / get_list_row_display / get_analytics_meta / get_participants_display / read_schedule_status",schedule-persist.php,"write_post_meta / persist_intent_flags / write_*_meta / schedule-persist-submit.php",intent/place_type/gender/attendance_status/is_match_requested,"both→either、男子→male、女子→female、attending→present、not_attending→absent、pending/空→no_response",normalized schedule payload,"postmeta(intent, schedule_place, matching_gender_condition, is_match_requested, male_slots, female_slots, attendance_data.status)",高,19a済
aidunite_normalize_match_request_payload,match_request,match-request-persist.php,aidunite_match_request_get_canonical_meta（+is_auto/approver_*/type）,match-request-persist.php,aidunite_match_request_persist_* / write_*,status/selected_place/selected_gender/cancel_reason_code/outcome_code/requires_reconfirm,"publish→pending、accepted→established(原則)、both→either、reasonキー統一",normalized match_request payload,"postmeta(status, selected_*, cancel_reason_code, mr_outcome_code, requires_reconfirm)（旧preferred_* / request_statusは読取のみ）",高,19b・20f済
aidunite_normalize_match_board_payload,match_board,match-board-persist.php,aidunite_match_board_get_canonical_meta,match-board-persist.php,status算出・書込,board_status（MR集計入力可）,"旧accepted吸収、open/pending/established統一",normalized match_board payload,postmeta(match_board_status),高,8-18済
aidunite_normalize_notification_payload,notification,notification-persist.php,aidunite_notification_get_canonical_meta,notification-persist.php,aidunite_notification_send等,type/is_read,"TRUE/FALSE→bool、team_approval→team_approval_completed、match_accepted→match_established",normalized notification payload,"postmeta(type, is_read, related_id, link_url)",中,19f済
aidunite_normalize_team_payload,team,team-persist.php,"aidunite_team_get_canonical_meta / get_display_bundle（+accepting_applications/secret_code/onboarding_bot_mr_id）/ get_settings_display / get_match_card_profile",team-persist.php,"aidunite_team_persist_register_meta / settings_meta / write_status_meta",publish_status/team_status/gender/org_type/activity_*,"both/mixed/空正規化、組織種別enum化",normalized team payload,"postmeta(team_status, team_gender_option, team_type, …)",中,19c済
aidunite_normalize_user_payload,user,user-persist.php,"aidunite_user_get_canonical_meta / read_team_memberships / read_primary_team_id / get_profile_display / get_admin_list_display",user-persist.php,aidunite_set_user_type / aidunite_update_user_registration_status_meta,role/registration_status/account_status/profile_gender/registration_source,"role吸収、Forminator 271→legacy_forminator、active→accepted互換",normalized user payload,"usermeta(aidunite_role, user_type, registration_status, …)",中,19d・20b済
aidunite_normalize_payment_payload,payment,payment-persist.php,"aidunite_payment_get_canonical_team_meta / _user_meta / get_tuition_display / get_setup_display",payment-persist.php,"payment-config.php setter / write_team_tuition_settings",payment_mode/selected_plan_id/trial_start_date/stripe_*,"school→business、日付YYYY-MM-DD",normalized payment payload,team/user meta各フィールド,中,19g・20g済
aidunite_normalize_attendance_payload,attendance,attendance-persist.php,aidunite_attendance_get_canonical_data / read_data_map,attendance-persist.php,aidunite_save_attendance（attendance_requiredはschedule-persist）,attendance_status / attendance_data.status,"attending/not_attending/pending/空→present/absent/no_response",normalized attendance payload,postmeta(attendance_data),中,19e済
aidunite_normalize_analytics_payload,analytics,analytics-persist.php,aidunite_analytics_get_recent_page_events_sample等,analytics-persist.php,aidunite_analytics_persist_insert_page_event / REST analytics/event,event_type/funnel_step_id,funnelのaccepted→established互換,normalized analytics payload,DB(aidunite_page_events),低,19j済
aidunite_normalize_chat_payload,chat,chat-persist.php,aidunite_chat_get_canonical_room,chat-persist.php,aidunite_save_chat_message / ルーム作成系,room_type/room_status/message_type,enum外排除,normalized chat payload,chat_rooms / chat_messages,低,19h済
aidunite_normalize_player_payload,player,player-persist.php,"get_canonical_meta / read_team_id / get_edit_display / get_list_row_display",player-persist.php,"persist_edit_meta / persist_registration_meta / persist_emergency_contact_meta",登録・更新フロー,選手名・学年・身体・保護者,旧height/weight/player_name分割互換,player display payload,"usermeta(player_*, parent_*, team_id)",中,20a・20h済
allowed_postmeta_direct,persist_read_fallback,*-persist.php / *-persist-read.php 内のみ,,
allowed_postmeta_direct,migration,meta-key-migration.php,,
allowed_postmeta_direct,match_sync,schedule-persist-match-sync.php,,
allowed_postmeta_direct,tools,tools/* / E2E test-data-api.php,,
allowed_postmeta_direct,workflow,schedule_status（ワークフロー）※spec確認,,
ui_exception_postmeta,functions/admin/page-setup.php,_wp_page_template（固定ページテンプレ割当）,,
ui_exception_usermeta,page-match-detail.php,checklist get_user_meta 1件（UI状態）,,
wave20,20a_player_read,page-edit-player / page-team-members get_user_metaゼロ,,
wave20,20b_profile_admin,page-profile-edit / page-admin-user-list 表示読取ゼロ,,
wave20,20f_match_log,page-match-log-view postmetaゼロ,,
wave20,20g_tuition_write,payment_write_team_tuition_settings,,
wave19_deleted,page-match-action.php,ACF旧・参照0,,
wave19_deleted,page-message-board.php,未使用・参照0,,
wave19_deleted,functions/schedule/rest-schedule-legacy.php,レガシーREST EP,,
wave19_replaced,plan-selection固定ページ,page-payment-setup.php テンプレ,,
wave20_deprecated_removed,aidunite_get_chat_icon_svg,20c:全PHPをaidunite_get_theme_icon_svgへ・関数削除,,
wave20_deprecated_removed,match-actions.js,20d:ファイル削除・jest除外,,
wave20,20e_js_aliases,schedule-utils normalizeAttendanceStatus/ScheduleRecord,,
wave20,20h_player_write,"persist_edit_meta + persist_registration_meta（チーム長登録）",,
wave20,20c_chat_icon,aidunite_get_chat_icon_svg削除済,,
wave19_verification,wave19-phase4-verification.md,php -l 25 OK・page postmeta grep・スモーク6画面OK,,
wave19_inventory,page-inventory-tsv.txt,テーマ直下 page 81本,,
